Region/Country/Area,,Year,Series,Value,Footnotes
2,Africa,2005,GDP in current prices (millions of US dollars),"1,133,617",
2,Africa,2010,GDP in current prices (millions of US dollars),"1,979,101",
2,Africa,2015,GDP in current prices (millions of US dollars),"2,358,404",
2,Africa,2018,GDP in current prices (millions of US dollars),"2,427,012",
2,Africa,2019,GDP in current prices (millions of US dollars),"2,521,006",
2,Africa,2020,GDP in current prices (millions of US dollars),"2,414,594",
2,Africa,1995,GDP per capita (US dollars),821,
2,Africa,2005,GDP per capita (US dollars),"1,239",
2,Africa,2010,GDP per capita (US dollars),"1,907",
2,Africa,2015,GDP per capita (US dollars),"1,997",
2,Africa,2018,GDP per capita (US dollars),"1,905",
2,Africa,2019,GDP per capita (US dollars),"1,930",
2,Africa,2020,GDP per capita (US dollars),"1,804",
2,Africa,1995,GDP in constant 2010 prices (millions of US dollars),"963,827",
2,Africa,2005,GDP in constant 2010 prices (millions of US dollars),"1,502,529",
2,Africa,2010,GDP in constant 2010 prices (millions of US dollars),"1,953,445",
2,Africa,2015,GDP in constant 2010 prices (millions of US dollars),"2,358,404",
2,Africa,2018,GDP in constant 2010 prices (millions of US dollars),"2,567,022",
2,Africa,2019,GDP in constant 2010 prices (millions of US dollars),"2,623,699",
2,Africa,2020,GDP in constant 2010 prices (millions of US dollars),"2,553,525",
2,Africa,1995,GDP real rates of growth (percent),2.8,
2,Africa,2005,GDP real rates of growth (percent),6.2,
2,Africa,2010,GDP real rates of growth (percent),5.9,
2,Africa,2015,GDP real rates of growth (percent),3.4,
2,Africa,2018,GDP real rates of growth (percent),3.3,
2,Africa,2019,GDP real rates of growth (percent),2.2,
2,Africa,2020,GDP real rates of growth (percent),-2.7,
15,Northern Africa,1995,GDP in current prices (millions of US dollars),"207,392",
15,Northern Africa,2005,GDP in current prices (millions of US dollars),"376,507",
15,Northern Africa,2010,GDP in current prices (millions of US dollars),"643,263",
15,Northern Africa,2015,GDP in current prices (millions of US dollars),"760,531",
15,Northern Africa,2018,GDP in current prices (millions of US dollars),"707,628",
15,Northern Africa,2019,GDP in current prices (millions of US dollars),"742,309",
15,Northern Africa,2020,GDP in current prices (millions of US dollars),"762,151",
15,Northern Africa,1995,GDP per capita (US dollars),"1,285",
15,Northern Africa,2005,GDP per capita (US dollars),"1,946",
15,Northern Africa,2010,GDP per capita (US dollars),"3,177",
15,Northern Africa,2015,GDP per capita (US dollars),"3,405",
15,Northern Africa,2018,GDP per capita (US dollars),"2,989",
15,Northern Africa,2019,GDP per capita (US dollars),"3,078",
15,Northern Africa,2020,GDP per capita (US dollars),"3,103",
15,Northern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"354,415",
15,Northern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"556,909",
15,Northern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"696,188",
15,Northern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"760,531",
15,Northern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"861,759",
15,Northern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"870,118",
15,Northern Africa,2020,GDP in constant 2010 prices (millions of US dollars),"834,346",
15,Northern Africa,1995,GDP real rates of growth (percent),2,
15,Northern Africa,2005,GDP real rates of growth (percent),6,
15,Northern Africa,2010,GDP real rates of growth (percent),4.9,
15,Northern Africa,2015,GDP real rates of growth (percent),3.7,
15,Northern Africa,2018,GDP real rates of growth (percent),4,
15,Northern Africa,2019,GDP real rates of growth (percent),1,
15,Northern Africa,2020,GDP real rates of growth (percent),-4.1,
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),"380,887",
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),"757,110",
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),"1,335,838",
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),"1,597,872",
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),"1,719,384",
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),"1,778,697",
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),"1,652,443",
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),686,
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),"1,050",
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),"1,599",
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),"1,669",
202,Sub-Saharan Africa,2018,GDP per capita (US dollars),"1,657",
202,Sub-Saharan Africa,2019,GDP per capita (US dollars),"1,670",
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),"1,512",
202,Sub-Saharan Africa,1995,GDP in constant 2010 prices (millions of US dollars),"609,412",
202,Sub-Saharan Africa,2005,GDP in constant 2010 prices (millions of US dollars),"945,620",
202,Sub-Saharan Africa,2010,GDP in constant 2010 prices (millions of US dollars),"1,257,257",
202,Sub-Saharan Africa,2015,GDP in constant 2010 prices (millions of US dollars),"1,597,872",
202,Sub-Saharan Africa,2018,GDP in constant 2010 prices (millions of US dollars),"1,705,262",
202,Sub-Saharan Africa,2019,GDP in constant 2010 prices (millions of US dollars),"1,753,581",
202,Sub-Saharan Africa,2020,GDP in constant 2010 prices (millions of US dollars),"1,719,178",
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.5,
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3,
202,Sub-Saharan Africa,2018,GDP real rates of growth (percent),2.9,
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.8,
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-2,
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"70,614",
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"114,715",
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"232,444",
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"324,886",
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),"398,781",
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),"433,522",
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),"431,717",
14,Eastern Africa,1995,GDP per capita (US dollars),324,
14,Eastern Africa,2005,GDP per capita (US dollars),400,
14,Eastern Africa,2010,GDP per capita (US dollars),687,
14,Eastern Africa,2015,GDP per capita (US dollars),836,
14,Eastern Africa,2018,GDP per capita (US dollars),946,
14,Eastern Africa,2019,GDP per capita (US dollars),"1,002",
14,Eastern Africa,2020,GDP per capita (US dollars),972,
14,Eastern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"109,587",
14,Eastern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"163,768",
14,Eastern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"239,026",
14,Eastern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"324,886",
14,Eastern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"379,850",
14,Eastern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"399,792",
14,Eastern Africa,2020,GDP in constant 2010 prices (millions of US dollars),"402,791",
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4,
14,Eastern Africa,2010,GDP real rates of growth (percent),9.5,
14,Eastern Africa,2015,GDP real rates of growth (percent),6,
14,Eastern Africa,2018,GDP real rates of growth (percent),5.7,
14,Eastern Africa,2019,GDP real rates of growth (percent),5.3,
14,Eastern Africa,2020,GDP real rates of growth (percent),0.8,
17,Middle Africa,1995,GDP in current prices (millions of US dollars),"36,081",
17,Middle Africa,2005,GDP in current prices (millions of US dollars),"99,548",
17,Middle Africa,2010,GDP in current prices (millions of US dollars),"189,153",
17,Middle Africa,2015,GDP in current prices (millions of US dollars),"238,018",
17,Middle Africa,2018,GDP in current prices (millions of US dollars),"244,526",
17,Middle Africa,2019,GDP in current prices (millions of US dollars),"230,482",
17,Middle Africa,2020,GDP in current prices (millions of US dollars),"196,683",
17,Middle Africa,1995,GDP per capita (US dollars),431,
17,Middle Africa,2005,GDP per capita (US dollars),889,
17,Middle Africa,2010,GDP per capita (US dollars),"1,437",
17,Middle Africa,2015,GDP per capita (US dollars),"1,544",
17,Middle Africa,2018,GDP per capita (US dollars),"1,446",
17,Middle Africa,2019,GDP per capita (US dollars),"1,322",
17,Middle Africa,2020,GDP per capita (US dollars),"1,095",
17,Middle Africa,1995,GDP in constant 2010 prices (millions of US dollars),"84,142",
17,Middle Africa,2005,GDP in constant 2010 prices (millions of US dollars),"138,734",
17,Middle Africa,2010,GDP in constant 2010 prices (millions of US dollars),"189,701",
17,Middle Africa,2015,GDP in constant 2010 prices (millions of US dollars),"238,018",
17,Middle Africa,2018,GDP in constant 2010 prices (millions of US dollars),"236,346",
17,Middle Africa,2019,GDP in constant 2010 prices (millions of US dollars),"239,144",
17,Middle Africa,2020,GDP in constant 2010 prices (millions of US dollars),"233,475",
17,Middle Africa,1995,GDP real rates of growth (percent),6.8,
17,Middle Africa,2005,GDP real rates of growth (percent),9.2,
17,Middle Africa,2010,GDP real rates of growth (percent),4.7,
17,Middle Africa,2015,GDP real rates of growth (percent),1.8,
17,Middle Africa,2018,GDP real rates of growth (percent),0.2,
17,Middle Africa,2019,GDP real rates of growth (percent),1.2,
17,Middle Africa,2020,GDP real rates of growth (percent),-2.4,
18,Southern Africa,1995,GDP in current prices (millions of US dollars),"168,902",
18,Southern Africa,2005,GDP in current prices (millions of US dollars),"279,461",
18,Southern Africa,2010,GDP in current prices (millions of US dollars),"406,090",
18,Southern Africa,2015,GDP in current prices (millions of US dollars),"349,590",
18,Southern Africa,2018,GDP in current prices (millions of US dollars),"407,616",
18,Southern Africa,2019,GDP in current prices (millions of US dollars),"389,284",
18,Southern Africa,2020,GDP in current prices (millions of US dollars),"334,742",
18,Southern Africa,1995,GDP per capita (US dollars),"3,566",
18,Southern Africa,2005,GDP per capita (US dollars),"5,114",
18,Southern Africa,2010,GDP per capita (US dollars),"6,956",
18,Southern Africa,2015,GDP per capita (US dollars),"5,550",
18,Southern Africa,2018,GDP per capita (US dollars),"6,200",
18,Southern Africa,2019,GDP per capita (US dollars),"5,842",
18,Southern Africa,2020,GDP per capita (US dollars),"4,959",
18,Southern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"190,432",
18,Southern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"265,154",
18,Southern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"310,369",
18,Southern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"349,590",
18,Southern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"359,876",
18,Southern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"360,951",
18,Southern Africa,2020,GDP in constant 2010 prices (millions of US dollars),"335,556",
18,Southern Africa,1995,GDP real rates of growth (percent),3.3,
18,Southern Africa,2005,GDP real rates of growth (percent),5.2,
18,Southern Africa,2010,GDP real rates of growth (percent),3.3,
18,Southern Africa,2015,GDP real rates of growth (percent),1.2,
18,Southern Africa,2018,GDP real rates of growth (percent),1,
18,Southern Africa,2019,GDP real rates of growth (percent),0.3,
18,Southern Africa,2020,GDP real rates of growth (percent),-7,
11,Western Africa,1995,GDP in current prices (millions of US dollars),"105,290",
11,Western Africa,2005,GDP in current prices (millions of US dollars),"263,386",
11,Western Africa,2010,GDP in current prices (millions of US dollars),"508,151",
11,Western Africa,2015,GDP in current prices (millions of US dollars),"685,378",
11,Western Africa,2018,GDP in current prices (millions of US dollars),"668,461",
11,Western Africa,2019,GDP in current prices (millions of US dollars),"725,408",
11,Western Africa,2020,GDP in current prices (millions of US dollars),"689,302",
11,Western Africa,1995,GDP per capita (US dollars),512,
11,Western Africa,2005,GDP per capita (US dollars),983,
11,Western Africa,2010,GDP per capita (US dollars),"1,655",
11,Western Africa,2015,GDP per capita (US dollars),"1,949",
11,Western Africa,2018,GDP per capita (US dollars),"1,754",
11,Western Africa,2019,GDP per capita (US dollars),"1,853",
11,Western Africa,2020,GDP per capita (US dollars),"1,715",
11,Western Africa,1995,GDP in constant 2010 prices (millions of US dollars),"225,251",
11,Western Africa,2005,GDP in constant 2010 prices (millions of US dollars),"377,963",
11,Western Africa,2010,GDP in constant 2010 prices (millions of US dollars),"518,162",
11,Western Africa,2015,GDP in constant 2010 prices (millions of US dollars),"685,378",
11,Western Africa,2018,GDP in constant 2010 prices (millions of US dollars),"729,189",
11,Western Africa,2019,GDP in constant 2010 prices (millions of US dollars),"753,694",
11,Western Africa,2020,GDP in constant 2010 prices (millions of US dollars),"747,356",
11,Western Africa,1995,GDP real rates of growth (percent),1.5,
11,Western Africa,2005,GDP real rates of growth (percent),6,
11,Western Africa,2010,GDP real rates of growth (percent),7.7,
11,Western Africa,2015,GDP real rates of growth (percent),3.7,
11,Western Africa,2018,GDP real rates of growth (percent),3.2,
11,Western Africa,2019,GDP real rates of growth (percent),3.4,
11,Western Africa,2020,GDP real rates of growth (percent),-0.8,
19,Americas,1995,GDP in current prices (millions of US dollars),"10,218,631",
19,Americas,2005,GDP in current prices (millions of US dollars),"17,082,951",
19,Americas,2010,GDP in current prices (millions of US dollars),"22,027,585",
19,Americas,2015,GDP in current prices (millions of US dollars),"25,281,355",
19,Americas,2018,GDP in current prices (millions of US dollars),"27,884,040",
19,Americas,2019,GDP in current prices (millions of US dollars),"28,631,369",
19,Americas,2020,GDP in current prices (millions of US dollars),"27,147,970",
19,Americas,1995,GDP per capita (US dollars),"13,162",
19,Americas,2005,GDP per capita (US dollars),"19,333",
19,Americas,2010,GDP per capita (US dollars),"23,599",
19,Americas,2015,GDP per capita (US dollars),"25,804",
19,Americas,2018,GDP per capita (US dollars),"27,738",
19,Americas,2019,GDP per capita (US dollars),"28,251",
19,Americas,2020,GDP per capita (US dollars),"26,575",
19,Americas,1995,GDP in constant 2010 prices (millions of US dollars),"15,236,608",
19,Americas,2005,GDP in constant 2010 prices (millions of US dollars),"21,054,819",
19,Americas,2010,GDP in constant 2010 prices (millions of US dollars),"22,733,153",
19,Americas,2015,GDP in constant 2010 prices (millions of US dollars),"25,281,355",
19,Americas,2018,GDP in constant 2010 prices (millions of US dollars),"26,679,218",
19,Americas,2019,GDP in constant 2010 prices (millions of US dollars),"27,144,863",
19,Americas,2020,GDP in constant 2010 prices (millions of US dollars),"25,971,143",
19,Americas,1995,GDP real rates of growth (percent),2.4,
19,Americas,2005,GDP real rates of growth (percent),3.7,
19,Americas,2010,GDP real rates of growth (percent),3.4,
19,Americas,2015,GDP real rates of growth (percent),2,
19,Americas,2018,GDP real rates of growth (percent),2.4,
19,Americas,2019,GDP real rates of growth (percent),1.7,
19,Americas,2020,GDP real rates of growth (percent),-4.3,
21,Northern America,1995,GDP in current prices (millions of US dollars),"8,249,570",
21,Northern America,2005,GDP in current prices (millions of US dollars),"14,219,073",
21,Northern America,2010,GDP in current prices (millions of US dollars),"16,675,374",
21,Northern America,2015,GDP in current prices (millions of US dollars),"19,771,305",
21,Northern America,2018,GDP in current prices (millions of US dollars),"22,259,329",
21,Northern America,2019,GDP in current prices (millions of US dollars),"23,124,545",
21,Northern America,2020,GDP in current prices (millions of US dollars),"22,548,633",
21,Northern America,1995,GDP per capita (US dollars),"28,017",
21,Northern America,2005,GDP per capita (US dollars),"43,446",
21,Northern America,2010,GDP per capita (US dollars),"48,576",
21,Northern America,2015,GDP per capita (US dollars),"55,378",
21,Northern America,2018,GDP per capita (US dollars),"61,103",
21,Northern America,2019,GDP per capita (US dollars),"63,079",
21,Northern America,2020,GDP per capita (US dollars),"61,130",
21,Northern America,1995,GDP in constant 2010 prices (millions of US dollars),"12,097,713",
21,Northern America,2005,GDP in constant 2010 prices (millions of US dollars),"16,930,307",
21,Northern America,2010,GDP in constant 2010 prices (millions of US dollars),"17,792,210",
21,Northern America,2015,GDP in constant 2010 prices (millions of US dollars),"19,771,305",
21,Northern America,2018,GDP in constant 2010 prices (millions of US dollars),"21,147,899",
21,Northern America,2019,GDP in constant 2010 prices (millions of US dollars),"21,624,715",
21,Northern America,2020,GDP in constant 2010 prices (millions of US dollars),"20,856,644",
21,Northern America,1995,GDP real rates of growth (percent),2.7,
21,Northern America,2005,GDP real rates of growth (percent),3.5,
21,Northern America,2010,GDP real rates of growth (percent),2.7,
21,Northern America,2015,GDP real rates of growth (percent),2.5,
21,Northern America,2018,GDP real rates of growth (percent),2.9,
21,Northern America,2019,GDP real rates of growth (percent),2.3,
21,Northern America,2020,GDP real rates of growth (percent),-3.6,
419,Latin America & the Caribbean,1995,GDP in current prices (millions of US dollars),"1,969,061",
419,Latin America & the Caribbean,2005,GDP in current prices (millions of US dollars),"2,863,877",
419,Latin America & the Caribbean,2010,GDP in current prices (millions of US dollars),"5,352,211",
419,Latin America & the Caribbean,2015,GDP in current prices (millions of US dollars),"5,510,050",
419,Latin America & the Caribbean,2018,GDP in current prices (millions of US dollars),"5,624,711",
419,Latin America & the Caribbean,2019,GDP in current prices (millions of US dollars),"5,506,824",
419,Latin America & the Caribbean,2020,GDP in current prices (millions of US dollars),"4,599,338",
419,Latin America & the Caribbean,1995,GDP per capita (US dollars),"4,086",
419,Latin America & the Caribbean,2005,GDP per capita (US dollars),"5,148",
419,Latin America & the Caribbean,2010,GDP per capita (US dollars),"9,069",
419,Latin America & the Caribbean,2015,GDP per capita (US dollars),"8,848",
419,Latin America & the Caribbean,2018,GDP per capita (US dollars),"8,775",
419,Latin America & the Caribbean,2019,GDP per capita (US dollars),"8,513",
419,Latin America & the Caribbean,2020,GDP per capita (US dollars),"7,047",
419,Latin America & the Caribbean,1995,GDP in constant 2010 prices (millions of US dollars),"3,138,895",
419,Latin America & the Caribbean,2005,GDP in constant 2010 prices (millions of US dollars),"4,124,512",
419,Latin America & the Caribbean,2010,GDP in constant 2010 prices (millions of US dollars),"4,940,943",
419,Latin America & the Caribbean,2015,GDP in constant 2010 prices (millions of US dollars),"5,510,050",
419,Latin America & the Caribbean,2018,GDP in constant 2010 prices (millions of US dollars),"5,531,319",
419,Latin America & the Caribbean,2019,GDP in constant 2010 prices (millions of US dollars),"5,520,148",
419,Latin America & the Caribbean,2020,GDP in constant 2010 prices (millions of US dollars),"5,114,499",
419,Latin America & the Caribbean,1995,GDP real rates of growth (percent),1.1,
419,Latin America & the Caribbean,2005,GDP real rates of growth (percent),4.5,
419,Latin America & the Caribbean,2010,GDP real rates of growth (percent),5.9,
419,Latin America & the Caribbean,2015,GDP real rates of growth (percent),0.1,
419,Latin America & the Caribbean,2018,GDP real rates of growth (percent),0.6,
419,Latin America & the Caribbean,2019,GDP real rates of growth (percent),-0.2,
419,Latin America & the Caribbean,2020,GDP real rates of growth (percent),-7.3,
29,Caribbean,1995,GDP in current prices (millions of US dollars),"121,569",
29,Caribbean,2005,GDP in current prices (millions of US dollars),"225,665",
29,Caribbean,2010,GDP in current prices (millions of US dollars),"295,771",
29,Caribbean,2015,GDP in current prices (millions of US dollars),"352,901",
29,Caribbean,2018,GDP in current prices (millions of US dollars),"382,792",
29,Caribbean,2019,GDP in current prices (millions of US dollars),"393,481",
29,Caribbean,2020,GDP in current prices (millions of US dollars),"375,616",
29,Caribbean,1995,GDP per capita (US dollars),"3,450",
29,Caribbean,2005,GDP per capita (US dollars),"5,819",
29,Caribbean,2010,GDP per capita (US dollars),"7,350",
29,Caribbean,2015,GDP per capita (US dollars),"8,469",
29,Caribbean,2018,GDP per capita (US dollars),"9,069",
29,Caribbean,2019,GDP per capita (US dollars),"9,284",
29,Caribbean,2020,GDP per capita (US dollars),"8,822",
29,Caribbean,1995,GDP in constant 2010 prices (millions of US dollars),"202,545",
29,Caribbean,2005,GDP in constant 2010 prices (millions of US dollars),"294,014",
29,Caribbean,2010,GDP in constant 2010 prices (millions of US dollars),"324,174",
29,Caribbean,2015,GDP in constant 2010 prices (millions of US dollars),"352,901",
29,Caribbean,2018,GDP in constant 2010 prices (millions of US dollars),"363,310",
29,Caribbean,2019,GDP in constant 2010 prices (millions of US dollars),"369,114",
29,Caribbean,2020,GDP in constant 2010 prices (millions of US dollars),"340,280",
29,Caribbean,1995,GDP real rates of growth (percent),4.2,
29,Caribbean,2005,GDP real rates of growth (percent),3.6,
29,Caribbean,2010,GDP real rates of growth (percent),1.7,
29,Caribbean,2015,GDP real rates of growth (percent),2.6,
29,Caribbean,2018,GDP real rates of growth (percent),1.3,
29,Caribbean,2019,GDP real rates of growth (percent),1.6,
29,Caribbean,2020,GDP real rates of growth (percent),-7.8,
13,Central America,1995,GDP in current prices (millions of US dollars),"412,076",
13,Central America,2005,GDP in current prices (millions of US dollars),"971,882",
13,Central America,2010,GDP in current prices (millions of US dollars),"1,210,015",
13,Central America,2015,GDP in current prices (millions of US dollars),"1,403,499",
13,Central America,2018,GDP in current prices (millions of US dollars),"1,487,821",
13,Central America,2019,GDP in current prices (millions of US dollars),"1,543,170",
13,Central America,2020,GDP in current prices (millions of US dollars),"1,328,176",
13,Central America,1995,GDP per capita (US dollars),"3,308",
13,Central America,2005,GDP per capita (US dollars),"6,659",
13,Central America,2010,GDP per capita (US dollars),"7,678",
13,Central America,2015,GDP per capita (US dollars),"8,307",
13,Central America,2018,GDP per capita (US dollars),"8,479",
13,Central America,2019,GDP per capita (US dollars),"8,690",
13,Central America,2020,GDP per capita (US dollars),"7,392",
13,Central America,1995,GDP in constant 2010 prices (millions of US dollars),"781,951",
13,Central America,2005,GDP in constant 2010 prices (millions of US dollars),"1,090,694",
13,Central America,2010,GDP in constant 2010 prices (millions of US dollars),"1,198,123",
13,Central America,2015,GDP in constant 2010 prices (millions of US dollars),"1,403,499",
13,Central America,2018,GDP in constant 2010 prices (millions of US dollars),"1,511,885",
13,Central America,2019,GDP in constant 2010 prices (millions of US dollars),"1,517,906",
13,Central America,2020,GDP in constant 2010 prices (millions of US dollars),"1,393,419",
13,Central America,1995,GDP real rates of growth (percent),-5,
13,Central America,2005,GDP real rates of growth (percent),2.6,
13,Central America,2010,GDP real rates of growth (percent),5,
13,Central America,2015,GDP real rates of growth (percent),3.4,
13,Central America,2018,GDP real rates of growth (percent),2.3,
13,Central America,2019,GDP real rates of growth (percent),0.4,
13,Central America,2020,GDP real rates of growth (percent),-8.2,
5,South America,1995,GDP in current prices (millions of US dollars),"1,435,417",
5,South America,2005,GDP in current prices (millions of US dollars),"1,666,331",
5,South America,2010,GDP in current prices (millions of US dollars),"3,846,425",
5,South America,2015,GDP in current prices (millions of US dollars),"3,753,650",
5,South America,2018,GDP in current prices (millions of US dollars),"3,754,098",
5,South America,2019,GDP in current prices (millions of US dollars),"3,570,172",
5,South America,2020,GDP in current prices (millions of US dollars),"2,895,546",
5,South America,1995,GDP per capita (US dollars),"4,456",
5,South America,2005,GDP per capita (US dollars),"4,484",
5,South America,2010,GDP per capita (US dollars),"9,805",
5,South America,2015,GDP per capita (US dollars),"9,109",
5,South America,2018,GDP per capita (US dollars),"8,869",
5,South America,2019,GDP per capita (US dollars),"8,363",
5,South America,2020,GDP per capita (US dollars),"6,727",
5,South America,1995,GDP in constant 2010 prices (millions of US dollars),"2,154,398",
5,South America,2005,GDP in constant 2010 prices (millions of US dollars),"2,739,804",
5,South America,2010,GDP in constant 2010 prices (millions of US dollars),"3,418,646",
5,South America,2015,GDP in constant 2010 prices (millions of US dollars),"3,753,650",
5,South America,2018,GDP in constant 2010 prices (millions of US dollars),"3,656,125",
5,South America,2019,GDP in constant 2010 prices (millions of US dollars),"3,633,128",
5,South America,2020,GDP in constant 2010 prices (millions of US dollars),"3,380,800",
5,South America,1995,GDP real rates of growth (percent),3.2,
5,South America,2005,GDP real rates of growth (percent),5.4,
5,South America,2010,GDP real rates of growth (percent),6.6,
5,South America,2015,GDP real rates of growth (percent),-1.3,
5,South America,2018,GDP real rates of growth (percent),-0.1,
5,South America,2019,GDP real rates of growth (percent),-0.6,
5,South America,2020,GDP real rates of growth (percent),-6.9,
142,Asia,1995,GDP in current prices (millions of US dollars),"9,320,099",
142,Asia,2005,GDP in current prices (millions of US dollars),"12,480,096",
142,Asia,2010,GDP in current prices (millions of US dollars),"21,068,942",
142,Asia,2015,GDP in current prices (millions of US dollars),"26,810,078",
142,Asia,2018,GDP in current prices (millions of US dollars),"32,281,222",
142,Asia,2019,GDP in current prices (millions of US dollars),"33,166,269",
142,Asia,2020,GDP in current prices (millions of US dollars),"33,070,906",
142,Asia,1995,GDP per capita (US dollars),"2,668",
142,Asia,2005,GDP per capita (US dollars),"3,138",
142,Asia,2010,GDP per capita (US dollars),"5,005",
142,Asia,2015,GDP per capita (US dollars),"6,048",
142,Asia,2018,GDP per capita (US dollars),"7,079",
142,Asia,2019,GDP per capita (US dollars),"7,209",
142,Asia,2020,GDP per capita (US dollars),"7,126",
142,Asia,1995,GDP in constant 2010 prices (millions of US dollars),"10,031,357",
142,Asia,2005,GDP in constant 2010 prices (millions of US dollars),"15,689,802",
142,Asia,2010,GDP in constant 2010 prices (millions of US dollars),"20,785,754",
142,Asia,2015,GDP in constant 2010 prices (millions of US dollars),"26,810,078",
142,Asia,2018,GDP in constant 2010 prices (millions of US dollars),"30,923,998",
142,Asia,2019,GDP in constant 2010 prices (millions of US dollars),"32,081,287",
142,Asia,2020,GDP in constant 2010 prices (millions of US dollars),"31,733,690",
142,Asia,1995,GDP real rates of growth (percent),5.5,
142,Asia,2005,GDP real rates of growth (percent),6.3,
142,Asia,2010,GDP real rates of growth (percent),7.7,
142,Asia,2015,GDP real rates of growth (percent),4.9,
