Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
142,Asia,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
142,Asia,2015,Urban population (percent),,,48,
142,Asia,2015,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
142,Asia,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
142,Asia,2018,Urban population (percent),,,49.9,
143,Central Asia,2005,Urban population (percent),,,46.8,
143,Central Asia,2005,Urban population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
143,Central Asia,2005,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
143,Central Asia,2010,Urban population (percent),,,48,
143,Central Asia,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
143,Central Asia,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
143,Central Asia,2015,Urban population (percent),,,48.1,
143,Central Asia,2015,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
143,Central Asia,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
143,Central Asia,2018,Urban population (percent),,,48.2,
30,Eastern Asia,2005,Urban population (percent),,,48.3,
30,Eastern Asia,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
30,Eastern Asia,2005,Rural population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.
30,Eastern Asia,2010,Urban population (percent),,,54.4,
30,Eastern Asia,2010,Urban population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.
30,Eastern Asia,2010,Rural population (percent growth rate per annum),,,-2,Data refers to a 5-year period preceding the reference year.
30,Eastern Asia,2015,Urban population (percent),,,59.8,
30,Eastern Asia,2015,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
30,Eastern Asia,2015,Rural population (percent growth rate per annum),,,-2,Data refers to a 5-year period preceding the reference year.
30,Eastern Asia,2018,Urban population (percent),,,62.9,
35,South-eastern Asia,2005,Urban population (percent),,,41.1,
35,South-eastern Asia,2005,Urban population (percent growth rate per annum),,,3,Data refers to a 5-year period preceding the reference year.
35,South-eastern Asia,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
35,South-eastern Asia,2010,Urban population (percent),,,44.3,
35,South-eastern Asia,2010,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
35,South-eastern Asia,2010,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
35,South-eastern Asia,2015,Urban population (percent),,,47.2,
35,South-eastern Asia,2015,Urban population (percent growth rate per annum),,,2.5,Data refers to a 5-year period preceding the reference year.
35,South-eastern Asia,2015,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
35,South-eastern Asia,2018,Urban population (percent),,,48.9,
34,Southern Asia,2005,Urban population (percent),,,30.7,
34,Southern Asia,2005,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
34,Southern Asia,2005,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
34,Southern Asia,2010,Urban population (percent),,,32.5,
34,Southern Asia,2010,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
34,Southern Asia,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
34,Southern Asia,2015,Urban population (percent),,,34.5,
34,Southern Asia,2015,Urban population (percent growth rate per annum),,,2.5,Data refers to a 5-year period preceding the reference year.
34,Southern Asia,2015,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
34,Southern Asia,2018,Urban population (percent),,,35.8,
145,Western Asia,2005,Urban population (percent),,,65.8,
145,Western Asia,2005,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
145,Western Asia,2005,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
145,Western Asia,2010,Urban population (percent),,,68.2,
145,Western Asia,2010,Urban population (percent growth rate per annum),,,3.2,Data refers to a 5-year period preceding the reference year.
145,Western Asia,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
145,Western Asia,2015,Urban population (percent),,,70.4,
145,Western Asia,2015,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
145,Western Asia,2015,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
145,Western Asia,2018,Urban population (percent),,,71.6,
150,Europe,2005,Urban population (percent),,,71.9,
150,Europe,2005,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
150,Europe,2005,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
150,Europe,2010,Urban population (percent),,,72.9,
150,Europe,2010,Urban population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
150,Europe,2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
150,Europe,2015,Urban population (percent),,,73.9,
150,Europe,2015,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
150,Europe,2015,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
150,Europe,2018,Urban population (percent),,,74.5,
151,Eastern Europe,2005,Urban population (percent),,,68.5,
151,Eastern Europe,2005,Urban population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
151,Eastern Europe,2005,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
151,Eastern Europe,2010,Urban population (percent),,,68.9,
151,Eastern Europe,2010,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
151,Eastern Europe,2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
151,Eastern Europe,2015,Urban population (percent),,,69.3,
151,Eastern Europe,2015,Urban population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
151,Eastern Europe,2015,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
151,Eastern Europe,2018,Urban population (percent),,,69.6,
154,Northern Europe,2005,Urban population (percent),,,78.9,
154,Northern Europe,2005,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
154,Northern Europe,2005,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
154,Northern Europe,2010,Urban population (percent),,,80.1,
154,Northern Europe,2010,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
154,Northern Europe,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
154,Northern Europe,2015,Urban population (percent),,,81.4,
154,Northern Europe,2015,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
154,Northern Europe,2015,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
154,Northern Europe,2018,Urban population (percent),,,82.2,
39,Southern Europe,2005,Urban population (percent),,,67.8,
39,Southern Europe,2005,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
39,Southern Europe,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
39,Southern Europe,2010,Urban population (percent),,,69.2,
39,Southern Europe,2010,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
39,Southern Europe,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
39,Southern Europe,2015,Urban population (percent),,,70.6,
39,Southern Europe,2015,Urban population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
39,Southern Europe,2015,Rural population (percent growth rate per annum),,,-1.1,Data refers to a 5-year period preceding the reference year.
39,Southern Europe,2018,Urban population (percent),,,71.5,
155,Western Europe,2005,Urban population (percent),,,77.3,
155,Western Europe,2005,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
155,Western Europe,2005,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.
155,Western Europe,2010,Urban population (percent),,,78.5,
155,Western Europe,2010,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
155,Western Europe,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
155,Western Europe,2015,Urban population (percent),,,79.4,
155,Western Europe,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
155,Western Europe,2015,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
155,Western Europe,2018,Urban population (percent),,,79.9,
9,Oceania,2005,Urban population (percent),,,68,
9,Oceania,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
9,Oceania,2005,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
9,Oceania,2010,Urban population (percent),,,68.1,
9,Oceania,2010,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
9,Oceania,2010,Rural population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
9,Oceania,2015,Urban population (percent),,,68.1,
9,Oceania,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
9,Oceania,2015,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
9,Oceania,2018,Urban population (percent),,,68.2,
53,Australia and New Zealand,2005,Urban population (percent),,,84.9,
53,Australia and New Zealand,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
53,Australia and New Zealand,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
53,Australia and New Zealand,2010,Urban population (percent),,,85.3,
53,Australia and New Zealand,2010,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
53,Australia and New Zealand,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
53,Australia and New Zealand,2015,Urban population (percent),,,85.8,
53,Australia and New Zealand,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
53,Australia and New Zealand,2015,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
53,Australia and New Zealand,2018,Urban population (percent),,,86.1,
54,Melanesia,2005,Urban population (percent),,,18.9,
54,Melanesia,2005,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
54,Melanesia,2005,Rural population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
54,Melanesia,2010,Urban population (percent),,,19,
54,Melanesia,2010,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
54,Melanesia,2010,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
54,Melanesia,2015,Urban population (percent),,,19.2,
54,Melanesia,2015,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
54,Melanesia,2015,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
54,Melanesia,2018,Urban population (percent),,,19.4,
57,Micronesia,2005,Urban population (percent),,,65.9,
57,Micronesia,2005,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
57,Micronesia,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
57,Micronesia,2010,Urban population (percent),,,66.6,
57,Micronesia,2010,Urban population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
57,Micronesia,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
57,Micronesia,2015,Urban population (percent),,,67.9,
57,Micronesia,2015,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
57,Micronesia,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
57,Micronesia,2018,Urban population (percent),,,68.7,
61,Polynesia,2005,Urban population (percent),,,43.5,
61,Polynesia,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
61,Polynesia,2005,Rural population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
61,Polynesia,2010,Urban population (percent),,,44.3,
61,Polynesia,2010,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
61,Polynesia,2010,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
61,Polynesia,2015,Urban population (percent),,,44.5,
61,Polynesia,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
61,Polynesia,2015,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
61,Polynesia,2018,Urban population (percent),,,44.4,
4,Afghanistan,2005,Urban population (percent),,,22.7,
4,Afghanistan,2005,Urban population (percent growth rate per annum),,,5,Data refers to a 5-year period preceding the reference year.
4,Afghanistan,2005,Rural population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.
4,Afghanistan,2005,Capital city population (thousands),Kabul,,"2,905",
4,Afghanistan,2005,Capital city population (as a percentage of total population),Kabul,,11.6,
4,Afghanistan,2005,Capital city population (as a percentage of total urban population),Kabul,,51,
4,Afghanistan,2010,Urban population (percent),,,23.7,
4,Afghanistan,2010,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
4,Afghanistan,2010,Rural population (percent growth rate per annum),,,2.5,Data refers to a 5-year period preceding the reference year.
4,Afghanistan,2010,Capital city population (thousands),Kabul,,"3,289",
4,Afghanistan,2010,Capital city population (as a percentage of total population),Kabul,,11.4,
4,Afghanistan,2010,Capital city population (as a percentage of total urban population),Kabul,,48.1,
4,Afghanistan,2015,Urban population (percent),,,24.8,
4,Afghanistan,2015,Urban population (percent growth rate per annum),,,4,Data refers to a 5-year period preceding the reference year.
4,Afghanistan,2015,Rural population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.
4,Afghanistan,2015,Capital city population (thousands),Kabul,,"3,724",
4,Afghanistan,2015,Capital city population (as a percentage of total population),Kabul,,11,
4,Afghanistan,2015,Capital city population (as a percentage of total urban population),Kabul,,44.5,
4,Afghanistan,2018,Urban population (percent),,,25.5,
4,Afghanistan,2018,Capital city population (thousands),Kabul,,"4,012",
8,Albania,2005,Urban population (percent),,,46.7,
8,Albania,2005,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
8,Albania,2005,Rural population (percent growth rate per annum),,,-2.1,Data refers to a 5-year period preceding the reference year.
8,Albania,2005,Capital city population (thousands),Tirana,,372,
8,Albania,2005,Capital city population (as a percentage of total population),Tirana,,12.1,
8,Albania,2005,Capital city population (as a percentage of total urban population),Tirana,,25.8,
8,Albania,2010,Urban population (percent),,,52.2,
8,Albania,2010,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
8,Albania,2010,Rural population (percent growth rate per annum),,,-3.1,Data refers to a 5-year period preceding the reference year.
8,Albania,2010,Capital city population (thousands),Tirana,,409,
8,Albania,2010,Capital city population (as a percentage of total population),Tirana,,13.9,
8,Albania,2010,Capital city population (as a percentage of total urban population),Tirana,,26.6,
8,Albania,2015,Urban population (percent),,,57.4,
8,Albania,2015,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
8,Albania,2015,Rural population (percent growth rate per annum),,,-2.5,Data refers to a 5-year period preceding the reference year.
8,Albania,2015,Capital city population (thousands),Tirana,,449,
8,Albania,2015,Capital city population (as a percentage of total population),Tirana,,15.4,
8,Albania,2015,Capital city population (as a percentage of total urban population),Tirana,,26.8,
8,Albania,2018,Urban population (percent),,,60.3,
8,Albania,2018,Capital city population (thousands),Tirana,,476,
12,Algeria,2005,Urban population (percent),,,63.8,
12,Algeria,2005,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
12,Algeria,2005,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.
