Region/Country/Area,,Year,Series,Value,Footnotes
419,Latin America & the Caribbean,2010,"Intentional homicide rates per 100,000",23.8,Estimate.
419,Latin America & the Caribbean,2010,"Percentage of male and female intentional homicide victims, Male",43.9,Estimate.
419,Latin America & the Caribbean,2010,"Percentage of male and female intentional homicide victims, Female",4.3,Estimate.
419,Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.6,Estimate.
419,Latin America & the Caribbean,2015,"Percentage of male and female intentional homicide victims, Male",41.7,Estimate.
419,Latin America & the Caribbean,2015,"Percentage of male and female intentional homicide victims, Female",4.1,Estimate.
419,Latin America & the Caribbean,2020,"Intentional homicide rates per 100,000",21.2,Estimate.
419,Latin America & the Caribbean,2020,"Percentage of male and female intentional homicide victims, Male",38.8,Estimate.
419,Latin America & the Caribbean,2020,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.
142,Asia,2005,"Intentional homicide rates per 100,000",2.9,Estimate.
142,Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.2,
142,Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.7,
142,Asia,2010,"Intentional homicide rates per 100,000",2.7,Estimate.
142,Asia,2010,"Percentage of male and female intentional homicide victims, Male",3.6,
142,Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,
142,Asia,2015,"Intentional homicide rates per 100,000",2.4,Estimate.
142,Asia,2015,"Percentage of male and female intentional homicide victims, Male",3.4,
142,Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.4,
142,Asia,2020,"Intentional homicide rates per 100,000",2,Estimate.
142,Asia,2020,"Percentage of male and female intentional homicide victims, Male",2.7,
142,Asia,2020,"Percentage of male and female intentional homicide victims, Female",1.3,
143,Central Asia,2005,"Intentional homicide rates per 100,000",6.5,Estimate.
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Male",9.9,Estimate.
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.
143,Central Asia,2010,"Intentional homicide rates per 100,000",5.5,Estimate.
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Male",8.1,Estimate.
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.9,Estimate.
143,Central Asia,2015,"Intentional homicide rates per 100,000",2.9,Estimate.
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.3,Estimate.
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.6,Estimate.
143,Central Asia,2020,"Intentional homicide rates per 100,000",2,Estimate.
143,Central Asia,2020,"Percentage of male and female intentional homicide victims, Male",2.9,Estimate.
143,Central Asia,2020,"Percentage of male and female intentional homicide victims, Female",1.1,Estimate.
30,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.5,Estimate.
30,Eastern Asia,2010,"Intentional homicide rates per 100,000",1,Estimate.
30,Eastern Asia,2015,"Intentional homicide rates per 100,000",0.7,Estimate.
30,Eastern Asia,2020,"Intentional homicide rates per 100,000",0.5,Estimate.
62,South-central Asia,2005,"Intentional homicide rates per 100,000",4.1,Estimate.
62,South-central Asia,2010,"Intentional homicide rates per 100,000",4.1,Estimate.
62,South-central Asia,2015,"Intentional homicide rates per 100,000",3.5,Estimate.
62,South-central Asia,2020,"Intentional homicide rates per 100,000",3,Estimate.
35,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8,Estimate.
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1,Estimate.
35,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.9,Estimate.
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7,Estimate.
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",1,Estimate.
35,South-eastern Asia,2015,"Intentional homicide rates per 100,000",3,Estimate.
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Male",5.1,Estimate.
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.
35,South-eastern Asia,2020,"Intentional homicide rates per 100,000",1.8,Estimate.
35,South-eastern Asia,2020,"Percentage of male and female intentional homicide victims, Male",2.9,Estimate.
35,South-eastern Asia,2020,"Percentage of male and female intentional homicide victims, Female",0.7,Estimate.
34,Southern Asia,2005,"Intentional homicide rates per 100,000",4,Estimate.
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.3,Estimate.
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.6,Estimate.
34,Southern Asia,2010,"Intentional homicide rates per 100,000",4,Estimate.
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",5,Estimate.
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.9,Estimate.
34,Southern Asia,2015,"Intentional homicide rates per 100,000",3.5,Estimate.
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.5,Estimate.
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.
34,Southern Asia,2020,"Intentional homicide rates per 100,000",3,Estimate.
34,Southern Asia,2020,"Percentage of male and female intentional homicide victims, Male",3.8,Estimate.
34,Southern Asia,2020,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.
145,Western Asia,2005,"Intentional homicide rates per 100,000",5.1,Estimate.
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",8.1,Estimate.
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.
145,Western Asia,2010,"Intentional homicide rates per 100,000",3.7,Estimate.
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.6,Estimate.
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.
145,Western Asia,2015,"Intentional homicide rates per 100,000",4.3,Estimate.
145,Western Asia,2015,"Percentage of male and female intentional homicide victims, Male",6.5,Estimate.
145,Western Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.
145,Western Asia,2020,"Intentional homicide rates per 100,000",4.7,Estimate.
145,Western Asia,2020,"Percentage of male and female intentional homicide victims, Male",7,Estimate.
145,Western Asia,2020,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.
150,Europe,2005,"Intentional homicide rates per 100,000",6.5,Estimate.
150,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.9,
150,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.4,
150,Europe,2010,"Intentional homicide rates per 100,000",3.5,Estimate.
150,Europe,2010,"Percentage of male and female intentional homicide victims, Male",5.2,
150,Europe,2010,"Percentage of male and female intentional homicide victims, Female",2,
150,Europe,2015,"Intentional homicide rates per 100,000",3.5,Estimate.
150,Europe,2015,"Percentage of male and female intentional homicide victims, Male",5.2,
150,Europe,2015,"Percentage of male and female intentional homicide victims, Female",1.9,
150,Europe,2020,"Intentional homicide rates per 100,000",2.6,Estimate.
150,Europe,2020,"Percentage of male and female intentional homicide victims, Male",3.9,
150,Europe,2020,"Percentage of male and female intentional homicide victims, Female",1.3,
151,Eastern Europe,2005,"Intentional homicide rates per 100,000",13.9,Estimate.
151,Eastern Europe,2005,"Percentage of male and female intentional homicide victims, Male",21.8,Estimate.
151,Eastern Europe,2005,"Percentage of male and female intentional homicide victims, Female",6.8,Estimate.
151,Eastern Europe,2010,"Intentional homicide rates per 100,000",6.9,Estimate.
151,Eastern Europe,2010,"Percentage of male and female intentional homicide victims, Male",10.7,Estimate.
151,Eastern Europe,2010,"Percentage of male and female intentional homicide victims, Female",3.6,Estimate.
151,Eastern Europe,2015,"Intentional homicide rates per 100,000",7.2,Estimate.
151,Eastern Europe,2015,"Percentage of male and female intentional homicide victims, Male",11.3,Estimate.
151,Eastern Europe,2015,"Percentage of male and female intentional homicide victims, Female",3.5,Estimate.
151,Eastern Europe,2020,"Intentional homicide rates per 100,000",5,Estimate.
151,Eastern Europe,2020,"Percentage of male and female intentional homicide victims, Male",8,Estimate.
151,Eastern Europe,2020,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.
154,Northern Europe,2005,"Intentional homicide rates per 100,000",1.9,Estimate.
154,Northern Europe,2005,"Percentage of male and female intentional homicide victims, Male",2.6,Estimate.
154,Northern Europe,2005,"Percentage of male and female intentional homicide victims, Female",1.3,Estimate.
154,Northern Europe,2010,"Intentional homicide rates per 100,000",1.5,Estimate.
154,Northern Europe,2010,"Percentage of male and female intentional homicide victims, Male",1.9,Estimate.
154,Northern Europe,2010,"Percentage of male and female intentional homicide victims, Female",1,Estimate.
154,Northern Europe,2015,"Intentional homicide rates per 100,000",1.2,Estimate.
154,Northern Europe,2015,"Percentage of male and female intentional homicide victims, Male",1.7,Estimate.
154,Northern Europe,2015,"Percentage of male and female intentional homicide victims, Female",0.7,Estimate.
154,Northern Europe,2020,"Intentional homicide rates per 100,000",1.2,Estimate.
154,Northern Europe,2020,"Percentage of male and female intentional homicide victims, Male",1.7,Estimate.
154,Northern Europe,2020,"Percentage of male and female intentional homicide victims, Female",0.8,Estimate.
39,Southern Europe,2005,"Intentional homicide rates per 100,000",1.3,Estimate.
39,Southern Europe,2005,"Percentage of male and female intentional homicide victims, Male",2,Estimate.
39,Southern Europe,2005,"Percentage of male and female intentional homicide victims, Female",0.6,Estimate.
39,Southern Europe,2010,"Intentional homicide rates per 100,000",1.1,Estimate.
39,Southern Europe,2010,"Percentage of male and female intentional homicide victims, Male",1.6,Estimate.
39,Southern Europe,2010,"Percentage of male and female intentional homicide victims, Female",0.7,Estimate.
39,Southern Europe,2015,"Intentional homicide rates per 100,000",0.9,Estimate.
39,Southern Europe,2015,"Percentage of male and female intentional homicide victims, Male",1.2,Estimate.
39,Southern Europe,2015,"Percentage of male and female intentional homicide victims, Female",0.5,Estimate.
39,Southern Europe,2020,"Intentional homicide rates per 100,000",0.7,Estimate.
39,Southern Europe,2020,"Percentage of male and female intentional homicide victims, Male",1,Estimate.
39,Southern Europe,2020,"Percentage of male and female intentional homicide victims, Female",0.5,Estimate.
155,Western Europe,2005,"Intentional homicide rates per 100,000",1.4,Estimate.
155,Western Europe,2005,"Percentage of male and female intentional homicide victims, Male",1.7,Estimate.
155,Western Europe,2005,"Percentage of male and female intentional homicide victims, Female",1.1,Estimate.
155,Western Europe,2010,"Intentional homicide rates per 100,000",1.2,Estimate.
155,Western Europe,2010,"Percentage of male and female intentional homicide victims, Male",1.4,Estimate.
155,Western Europe,2010,"Percentage of male and female intentional homicide victims, Female",1,Estimate.
155,Western Europe,2015,"Intentional homicide rates per 100,000",1.2,Estimate.
155,Western Europe,2015,"Percentage of male and female intentional homicide victims, Male",1.4,Estimate.
155,Western Europe,2015,"Percentage of male and female intentional homicide victims, Female",1,Estimate.
155,Western Europe,2020,"Intentional homicide rates per 100,000",1.2,Estimate.
155,Western Europe,2020,"Percentage of male and female intentional homicide victims, Male",1.5,Estimate.
155,Western Europe,2020,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.
9,Oceania,2005,"Intentional homicide rates per 100,000",3.1,Estimate.
9,Oceania,2005,"Percentage of male and female intentional homicide victims, Male",3.8,Estimate.
9,Oceania,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.
9,Oceania,2010,"Intentional homicide rates per 100,000",2.9,Estimate.
9,Oceania,2010,"Percentage of male and female intentional homicide victims, Male",3.4,Estimate.
9,Oceania,2010,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.
9,Oceania,2015,"Intentional homicide rates per 100,000",2.9,Estimate.
9,Oceania,2015,"Percentage of male and female intentional homicide victims, Male",3.7,Estimate.
9,Oceania,2015,"Percentage of male and female intentional homicide victims, Female",2.1,Estimate.
9,Oceania,2020,"Intentional homicide rates per 100,000",3.1,Estimate.
9,Oceania,2020,"Percentage of male and female intentional homicide victims, Male",4,Estimate.
9,Oceania,2020,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.
53,Australia and New Zealand,2005,"Intentional homicide rates per 100,000",1.3,Estimate.
53,Australia and New Zealand,2005,"Percentage of male and female intentional homicide victims, Male",1.6,Estimate.
53,Australia and New Zealand,2005,"Percentage of male and female intentional homicide victims, Female",1,Estimate.
53,Australia and New Zealand,2010,"Intentional homicide rates per 100,000",1,Estimate.
53,Australia and New Zealand,2010,"Percentage of male and female intentional homicide victims, Male",1.2,Estimate.
53,Australia and New Zealand,2010,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.
53,Australia and New Zealand,2015,"Intentional homicide rates per 100,000",1,Estimate.
53,Australia and New Zealand,2015,"Percentage of male and female intentional homicide victims, Male",1.3,Estimate.
53,Australia and New Zealand,2015,"Percentage of male and female intentional homicide victims, Female",0.7,Estimate.
53,Australia and New Zealand,2020,"Intentional homicide rates per 100,000",1.2,Estimate.
53,Australia and New Zealand,2020,"Percentage of male and female intentional homicide victims, Male",1.5,Estimate.
53,Australia and New Zealand,2020,"Percentage of male and female intentional homicide victims, Female",0.8,Estimate.
54,Melanesia,2005,"Intentional homicide rates per 100,000",8,Estimate.
54,Melanesia,2010,"Intentional homicide rates per 100,000",8.3,Estimate.
54,Melanesia,2015,"Intentional homicide rates per 100,000",8.2,Estimate.
54,Melanesia,2020,"Intentional homicide rates per 100,000",8.2,Estimate.
57,Micronesia,2005,"Intentional homicide rates per 100,000",4.1,Estimate.
57,Micronesia,2010,"Intentional homicide rates per 100,000",2.9,Estimate.
57,Micronesia,2015,"Intentional homicide rates per 100,000",4.1,Estimate.
57,Micronesia,2020,"Intentional homicide rates per 100,000",3.9,Estimate.
61,Polynesia,2005,"Intentional homicide rates per 100,000",4.6,Estimate.
61,Polynesia,2010,"Intentional homicide rates per 100,000",3.8,Estimate.
61,Polynesia,2015,"Intentional homicide rates per 100,000",2.3,Estimate.
61,Polynesia,2020,"Intentional homicide rates per 100,000",3,Estimate.
4,Afghanistan,2010,"Intentional homicide rates per 100,000",3.4,
4,Afghanistan,2015,"Intentional homicide rates per 100,000",9.8,
4,Afghanistan,2015,"Percentage of male and female intentional homicide victims, Male",18.5,
4,Afghanistan,2015,"Percentage of male and female intentional homicide victims, Female",0.6,
4,Afghanistan,2018,"Intentional homicide rates per 100,000",6.7,
4,Afghanistan,2018,"Percentage of male and female intentional homicide victims, Male",12.2,
4,Afghanistan,2018,"Percentage of male and female intentional homicide victims, Female",0.8,
4,Afghanistan,2019,"Percentage of male and female intentional homicide victims, Female",1.3,
8,Albania,2005,"Intentional homicide rates per 100,000",5,
8,Albania,2005,"Percentage of male and female intentional homicide victims, Male",8.6,
8,Albania,2005,"Percentage of male and female intentional homicide victims, Female",1.4,
8,Albania,2005,"Assault rate per 100,000 population",5.3,
8,Albania,2005,"Theft at the national level, rate per 100,000 population",96.7,
8,Albania,2005,"Robbery at the national level, rate per 100,000 population",6.4,
8,Albania,2005,"Total Sexual Violence at the national level, rate per 100,000",2.9,
8,Albania,2010,"Intentional homicide rates per 100,000",4.3,
8,Albania,2010,"Percentage of male and female intentional homicide victims, Male",7.3,
8,Albania,2010,"Percentage of male and female intentional homicide victims, Female",1.3,
8,Albania,2010,"Assault rate per 100,000 population",6,
8,Albania,2010,"Kidnapping at the national level, rate per 100,000",0.3,
8,Albania,2010,"Theft at the national level, rate per 100,000 population",134.9,
8,Albania,2010,"Robbery at the national level, rate per 100,000 population",8,
8,Albania,2010,"Total Sexual Violence at the national level, rate per 100,000",2.7,
8,Albania,2015,"Intentional homicide rates per 100,000",2.2,
8,Albania,2015,"Percentage of male and female intentional homicide victims, Male",3.3,
8,Albania,2015,"Percentage of male and female intentional homicide victims, Female",1.1,
8,Albania,2015,"Assault rate per 100,000 population",5.8,
8,Albania,2015,"Kidnapping at the national level, rate per 100,000",0.3,
8,Albania,2015,"Theft at the national level, rate per 100,000 population",242.6,
8,Albania,2015,"Robbery at the national level, rate per 100,000 population",8.1,
8,Albania,2015,"Total Sexual Violence at the national level, rate per 100,000",5.2,
8,Albania,2019,"Intentional homicide rates per 100,000",2.3,
8,Albania,2019,"Percentage of male and female intentional homicide victims, Male",3.5,
8,Albania,2019,"Percentage of male and female intentional homicide victims, Female",0.9,
8,Albania,2019,"Assault rate per 100,000 population",5.5,
8,Albania,2019,"Kidnapping at the national level, rate per 100,000",0.1,
8,Albania,2019,"Theft at the national level, rate per 100,000 population",167.8,
8,Albania,2019,"Robbery at the national level, rate per 100,000 population",3.4,
8,Albania,2019,"Total Sexual Violence at the national level, rate per 100,000",5.3,
8,Albania,2020,"Intentional homicide rates per 100,000",2.1,
8,Albania,2020,"Percentage of male and female intentional homicide victims, Male",3.6,
8,Albania,2020,"Percentage of male and female intentional homicide victims, Female",0.6,
8,Albania,2020,"Assault rate per 100,000 population",5.3,
8,Albania,2020,"Kidnapping at the national level, rate per 100,000",0.2,
8,Albania,2020,"Theft at the national level, rate per 100,000 population",152.9,
8,Albania,2020,"Total Sexual Violence at the national level, rate per 100,000",5,
12,Algeria,2005,"Assault rate per 100,000 population",99.3,
12,Algeria,2005,"Kidnapping at the national level, rate per 100,000",0.3,
12,Algeria,2005,"Robbery at the national level, rate per 100,000 population",75.9,
12,Algeria,2010,"Intentional homicide rates per 100,000",0.7,
12,Algeria,2010,"Assault rate per 100,000 population",115,
12,Algeria,2010,"Kidnapping at the national level, rate per 100,000",0.5,
12,Algeria,2010,"Theft at the national level, rate per 100,000 population",141.9,
12,Algeria,2010,"Robbery at the national level, rate per 100,000 population",51.4,
12,Algeria,2010,"Total Sexual Violence at the national level, rate per 100,000",10.5,
12,Algeria,2015,"Intentional homicide rates per 100,000",1.4,
12,Algeria,2015,"Percentage of male and female intentional homicide victims, Male",2.3,
12,Algeria,2015,"Percentage of male and female intentional homicide victims, Female",0.4,
12,Algeria,2015,"Assault rate per 100,000 population",123.6,
12,Algeria,2015,"Kidnapping at the national level, rate per 100,000",1.3,
12,Algeria,2015,"Theft at the national level, rate per 100,000 population",124.8,
12,Algeria,2015,"Robbery at the national level, rate per 100,000 population",65.5,
12,Algeria,2015,"Total Sexual Violence at the national level, rate per 100,000",8.5,
12,Algeria,2020,"Intentional homicide rates per 100,000",1.3,
12,Algeria,2020,"Percentage of male and female intentional homicide victims, Male",2.2,
12,Algeria,2020,"Percentage of male and female intentional homicide victims, Female",0.4,
16,American Samoa,2005,"Intentional homicide rates per 100,000",10.1,
16,American Samoa,2010,"Intentional homicide rates per 100,000",8.9,
16,American Samoa,2015,"Intentional homicide rates per 100,000",7.2,
16,American Samoa,2019,"Intentional homicide rates per 100,000",0,
20,Andorra,2004,"Intentional homicide rates per 100,000",1.3,
20,Andorra,2010,"Intentional homicide rates per 100,000",0,
20,Andorra,2010,"Assault rate per 100,000 population",116,
20,Andorra,2010,"Kidnapping at the national level, rate per 100,000",0,
20,Andorra,2010,"Theft at the national level, rate per 100,000 population","1,322.60",
20,Andorra,2010,"Robbery at the national level, rate per 100,000 population",9.5,
20,Andorra,2010,"Total Sexual Violence at the national level, rate per 100,000",11.8,
20,Andorra,2015,"Intentional homicide rates per 100,000",0,
20,Andorra,2015,"Assault rate per 100,000 population",170.5,
20,Andorra,2015,"Kidnapping at the national level, rate per 100,000",0,
20,Andorra,2015,"Theft at the national level, rate per 100,000 population","1,341.10",
20,Andorra,2015,"Robbery at the national level, rate per 100,000 population",10.3,
20,Andorra,2015,"Total Sexual Violence at the national level, rate per 100,000",14.1,
20,Andorra,2019,"Assault rate per 100,000 population",324.1,
20,Andorra,2019,"Kidnapping at the national level, rate per 100,000",0,
20,Andorra,2019,"Robbery at the national level, rate per 100,000 population",10.4,
20,Andorra,2019,"Total Sexual Violence at the national level, rate per 100,000",49.3,
20,Andorra,2020,"Intentional homicide rates per 100,000",2.6,
24,Angola,2012,"Intentional homicide rates per 100,000",4.8,
660,Anguilla,2005,"Intentional homicide rates per 100,000",0,
660,Anguilla,2010,"Intentional homicide rates per 100,000",0,
660,Anguilla,2014,"Intentional homicide rates per 100,000",28.3,
28,Antigua and Barbuda,2002,"Intentional homicide rates per 100,000",6.4,
28,Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Male",10.2,
28,Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Female",3,
28,Antigua and Barbuda,2005,"Intentional homicide rates per 100,000",3.7,
28,Antigua and Barbuda,2008,"Intentional homicide rates per 100,000",18.7,
28,Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Male",27,
28,Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Female",11.2,
28,Antigua and Barbuda,2010,"Intentional homicide rates per 100,000",6.8,
28,Antigua and Barbuda,2012,"Intentional homicide rates per 100,000",11.1,
28,Antigua and Barbuda,2015,"Percentage of male and female intentional homicide victims, Male",8.9,
28,Antigua and Barbuda,2015,"Percentage of male and female intentional homicide victims, Female",2.1,
28,Antigua and Barbuda,2015,"Assault rate per 100,000 population",7.5,
28,Antigua and Barbuda,2015,"Kidnapping at the national level, rate per 100,000",4.3,
28,Antigua and Barbuda,2015,"Theft at the national level, rate per 100,000 population","1,298.50",
28,Antigua and Barbuda,2015,"Robbery at the national level, rate per 100,000 population",118.6,
28,Antigua and Barbuda,2015,"Total Sexual Violence at the national level, rate per 100,000",75.9,
28,Antigua and Barbuda,2020,"Intentional homicide rates per 100,000",9.2,
28,Antigua and Barbuda,2020,"Percentage of male and female intentional homicide victims, Male",16.9,
28,Antigua and Barbuda,2020,"Percentage of male and female intentional homicide victims, Female",2,
28,Antigua and Barbuda,2020,"Assault rate per 100,000 population",0,
28,Antigua and Barbuda,2020,"Kidnapping at the national level, rate per 100,000",3.1,
28,Antigua and Barbuda,2020,"Theft at the national level, rate per 100,000 population",876.2,
28,Antigua and Barbuda,2020,"Robbery at the national level, rate per 100,000 population",81.7,
28,Antigua and Barbuda,2020,"Total Sexual Violence at the national level, rate per 100,000",61.3,
32,Argentina,2005,"Intentional homicide rates per 100,000",5.7,
32,Argentina,2005,"Assault rate per 100,000 population",365.4,
32,Argentina,2005,"Theft at the national level, rate per 100,000 population",780.8,
32,Argentina,2005,"Robbery at the national level, rate per 100,000 population",913.6,
32,Argentina,2008,"Intentional homicide rates per 100,000",5.9,
32,Argentina,2008,"Assault rate per 100,000 population",362.4,
32,Argentina,2008,"Theft at the national level, rate per 100,000 population",709.1,
32,Argentina,2008,"Robbery at the national level, rate per 100,000 population",965.1,
32,Argentina,2008,"Total Sexual Violence at the national level, rate per 100,000",26.5,
32,Argentina,2010,"Intentional homicide rates per 100,000",5.8,
32,Argentina,2015,"Intentional homicide rates per 100,000",6.6,
32,Argentina,2015,"Percentage of male and female intentional homicide victims, Male",11.7,
32,Argentina,2015,"Percentage of male and female intentional homicide victims, Female",1.8,
32,Argentina,2015,"Assault rate per 100,000 population",420.9,
32,Argentina,2015,"Theft at the national level, rate per 100,000 population",631.3,
32,Argentina,2015,"Robbery at the national level, rate per 100,000 population","1,028.50",
32,Argentina,2015,"Total Sexual Violence at the national level, rate per 100,000",37.4,
32,Argentina,2019,"Intentional homicide rates per 100,000",5.1,
