Region/Country/Area,Region/Country/Area,Year,Series,Value,Footnotes
8,Albania,2019,Industry (% of gross value added),23.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
8,Albania,2020,Industry (% of gross value added),22.9,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
8,Albania,1995,Services (% of gross value added),19.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,2005,Services (% of gross value added),49.8,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,2010,Services (% of gross value added),50.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,2015,Services (% of gross value added),52.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,2018,Services (% of gross value added),54.6,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,2019,Services (% of gross value added),55.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
8,Albania,2020,Services (% of gross value added),55.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
12,Algeria,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.4,Data classified according to ISIC Rev. 4.
12,Algeria,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",8,Data classified according to ISIC Rev. 4.
12,Algeria,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.6,Data classified according to ISIC Rev. 4.
12,Algeria,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.1,Data classified according to ISIC Rev. 4.
12,Algeria,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.3,Data classified according to ISIC Rev. 4.
12,Algeria,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.9,Data classified according to ISIC Rev. 4.
12,Algeria,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",14.6,Data classified according to ISIC Rev. 4.
12,Algeria,1995,Industry (% of gross value added),47.9,Data classified according to ISIC Rev. 4.
12,Algeria,2005,Industry (% of gross value added),59.7,Data classified according to ISIC Rev. 4.
12,Algeria,2010,Industry (% of gross value added),51.4,Data classified according to ISIC Rev. 4.
12,Algeria,2015,Industry (% of gross value added),37.3,Data classified according to ISIC Rev. 4.
12,Algeria,2018,Industry (% of gross value added),40.6,Data classified according to ISIC Rev. 4.
12,Algeria,2019,Industry (% of gross value added),39,Data classified according to ISIC Rev. 4.
12,Algeria,2020,Industry (% of gross value added),33.5,Data classified according to ISIC Rev. 4.
12,Algeria,1995,Services (% of gross value added),41.7,Data classified according to ISIC Rev. 4.
12,Algeria,2005,Services (% of gross value added),32.3,Data classified according to ISIC Rev. 4.
12,Algeria,2010,Services (% of gross value added),40,Data classified according to ISIC Rev. 4.
12,Algeria,2015,Services (% of gross value added),50.6,Data classified according to ISIC Rev. 4.
12,Algeria,2018,Services (% of gross value added),47.1,Data classified according to ISIC Rev. 4.
12,Algeria,2019,Services (% of gross value added),48.1,Data classified according to ISIC Rev. 4.
12,Algeria,2020,Services (% of gross value added),51.9,Data classified according to ISIC Rev. 4.
20,Andorra,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
20,Andorra,1995,Industry (% of gross value added),18.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,2005,Industry (% of gross value added),17.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,2010,Industry (% of gross value added),14.5,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,2015,Industry (% of gross value added),11.2,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,2018,Industry (% of gross value added),12.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,2019,Industry (% of gross value added),13,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,2020,Industry (% of gross value added),12.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
20,Andorra,1995,Services (% of gross value added),80.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
20,Andorra,2005,Services (% of gross value added),81.9,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
20,Andorra,2010,Services (% of gross value added),85,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
20,Andorra,2015,Services (% of gross value added),88.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
20,Andorra,2018,Services (% of gross value added),87,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
20,Andorra,2019,Services (% of gross value added),86.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
20,Andorra,2020,Services (% of gross value added),87,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
24,Angola,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.4,Data classified according to ISIC Rev. 4.
24,Angola,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",5,Data classified according to ISIC Rev. 4.
24,Angola,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.2,Data classified according to ISIC Rev. 4.
24,Angola,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.1,Data classified according to ISIC Rev. 4.
24,Angola,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.6,Data classified according to ISIC Rev. 4.
24,Angola,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",7,Data classified according to ISIC Rev. 4.
24,Angola,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.9,Data classified according to ISIC Rev. 4.
24,Angola,1995,Industry (% of gross value added),67.4,Data classified according to ISIC Rev. 4.
24,Angola,2005,Industry (% of gross value added),59.7,Data classified according to ISIC Rev. 4.
24,Angola,2010,Industry (% of gross value added),52.1,Data classified according to ISIC Rev. 4.
24,Angola,2015,Industry (% of gross value added),42.1,Data classified according to ISIC Rev. 4.
24,Angola,2018,Industry (% of gross value added),48.1,Data classified according to ISIC Rev. 4.
24,Angola,2019,Industry (% of gross value added),52.3,Data classified according to ISIC Rev. 4.
24,Angola,2020,Industry (% of gross value added),46.8,Data classified according to ISIC Rev. 4.
24,Angola,1995,Services (% of gross value added),25.2,Data classified according to ISIC Rev. 4.
24,Angola,2005,Services (% of gross value added),35.3,Data classified according to ISIC Rev. 4.
24,Angola,2010,Services (% of gross value added),41.7,Data classified according to ISIC Rev. 4.
24,Angola,2015,Services (% of gross value added),48.8,Data classified according to ISIC Rev. 4.
24,Angola,2018,Services (% of gross value added),43.3,Data classified according to ISIC Rev. 4.
24,Angola,2019,Services (% of gross value added),40.7,Data classified according to ISIC Rev. 4.
24,Angola,2020,Services (% of gross value added),43.3,Data classified according to ISIC Rev. 4.
660,Anguilla,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.3,Data classified according to ISIC Rev. 4.
660,Anguilla,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.7,Data classified according to ISIC Rev. 4.
660,Anguilla,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2,Data classified according to ISIC Rev. 4.
660,Anguilla,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.3,Data classified according to ISIC Rev. 4.
660,Anguilla,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.5,Data classified according to ISIC Rev. 4.
660,Anguilla,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Data classified according to ISIC Rev. 4.
660,Anguilla,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",1,Data classified according to ISIC Rev. 4.
660,Anguilla,1995,Industry (% of gross value added),14.5,Data classified according to ISIC Rev. 4.
660,Anguilla,2005,Industry (% of gross value added),19.8,Data classified according to ISIC Rev. 4.
660,Anguilla,2010,Industry (% of gross value added),15.8,Data classified according to ISIC Rev. 4.
660,Anguilla,2015,Industry (% of gross value added),15.3,Data classified according to ISIC Rev. 4.
660,Anguilla,2018,Industry (% of gross value added),21.3,Data classified according to ISIC Rev. 4.
660,Anguilla,2019,Industry (% of gross value added),11.8,Data classified according to ISIC Rev. 4.
660,Anguilla,2020,Industry (% of gross value added),15.1,Data classified according to ISIC Rev. 4.
660,Anguilla,1995,Services (% of gross value added),82.2,Data classified according to ISIC Rev. 4.
660,Anguilla,2005,Services (% of gross value added),77.4,Data classified according to ISIC Rev. 4.
660,Anguilla,2010,Services (% of gross value added),82.2,Data classified according to ISIC Rev. 4.
660,Anguilla,2015,Services (% of gross value added),82.4,Data classified according to ISIC Rev. 4.
660,Anguilla,2018,Services (% of gross value added),77.2,Data classified according to ISIC Rev. 4.
660,Anguilla,2019,Services (% of gross value added),85.3,Data classified according to ISIC Rev. 4.
660,Anguilla,2020,Services (% of gross value added),83.9,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.5,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,1995,Industry (% of gross value added),14.4,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2005,Industry (% of gross value added),16.5,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2010,Industry (% of gross value added),18.3,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2015,Industry (% of gross value added),18.7,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2018,Industry (% of gross value added),23.8,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2019,Industry (% of gross value added),23.6,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2020,Industry (% of gross value added),23.8,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,1995,Services (% of gross value added),83.7,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2005,Services (% of gross value added),81.5,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2010,Services (% of gross value added),79.9,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2015,Services (% of gross value added),79.5,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2018,Services (% of gross value added),74.2,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2019,Services (% of gross value added),74.5,Data classified according to ISIC Rev. 4.
28,Antigua and Barbuda,2020,Services (% of gross value added),73.7,Data classified according to ISIC Rev. 4.
32,Argentina,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.3,
32,Argentina,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.3,
32,Argentina,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.5,
32,Argentina,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.1,
32,Argentina,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.3,
32,Argentina,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.3,
32,Argentina,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.2,
32,Argentina,1995,Industry (% of gross value added),26,
32,Argentina,2005,Industry (% of gross value added),33.7,
32,Argentina,2010,Industry (% of gross value added),30.1,
32,Argentina,2015,Industry (% of gross value added),27.5,
32,Argentina,2018,Industry (% of gross value added),27.4,
32,Argentina,2019,Industry (% of gross value added),27.9,
32,Argentina,2020,Industry (% of gross value added),26.9,
32,Argentina,1995,Services (% of gross value added),68.7,
32,Argentina,2005,Services (% of gross value added),57,
32,Argentina,2010,Services (% of gross value added),61.4,
32,Argentina,2015,Services (% of gross value added),66.3,
32,Argentina,2018,Services (% of gross value added),66.4,
32,Argentina,2019,Services (% of gross value added),64.8,
32,Argentina,2020,Services (% of gross value added),65,
51,Armenia,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",40.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",19.9,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",17.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",18.9,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",15.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
51,Armenia,1995,Industry (% of gross value added),28.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,2005,Industry (% of gross value added),43.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,2010,Industry (% of gross value added),34.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,2015,Industry (% of gross value added),28.2,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,2018,Industry (% of gross value added),27.1,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,2019,Industry (% of gross value added),27.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,2020,Industry (% of gross value added),29.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
51,Armenia,1995,Services (% of gross value added),31.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
51,Armenia,2005,Services (% of gross value added),36.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
51,Armenia,2010,Services (% of gross value added),47.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
51,Armenia,2015,Services (% of gross value added),52.9,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
51,Armenia,2018,Services (% of gross value added),57.6,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
51,Armenia,2019,Services (% of gross value added),59.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
51,Armenia,2020,Services (% of gross value added),58.1,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.;Includes mining and quarrying.
533,Aruba,1995,Industry (% of gross value added),11.8,Data classified according to ISIC Rev. 4.
533,Aruba,2005,Industry (% of gross value added),17.7,Data classified according to ISIC Rev. 4.
533,Aruba,2010,Industry (% of gross value added),12.8,Data classified according to ISIC Rev. 4.
533,Aruba,2015,Industry (% of gross value added),10.5,Data classified according to ISIC Rev. 4.
533,Aruba,2018,Industry (% of gross value added),10.3,Data classified according to ISIC Rev. 4.
533,Aruba,2019,Industry (% of gross value added),10.6,Data classified according to ISIC Rev. 4.
533,Aruba,2020,Industry (% of gross value added),10.6,Data classified according to ISIC Rev. 4.
533,Aruba,1995,Services (% of gross value added),88.1,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,2005,Services (% of gross value added),82.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,2010,Services (% of gross value added),87.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,2015,Services (% of gross value added),89.5,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,2018,Services (% of gross value added),89.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,2019,Services (% of gross value added),89.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
533,Aruba,2020,Services (% of gross value added),89.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.1,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
36,Australia,1995,Industry (% of gross value added),28.3,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,2005,Industry (% of gross value added),27.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,2010,Industry (% of gross value added),28.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,2015,Industry (% of gross value added),24,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,2018,Industry (% of gross value added),27.1,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,2019,Industry (% of gross value added),27.2,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,2020,Industry (% of gross value added),27.3,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
36,Australia,1995,Services (% of gross value added),68,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,2005,Services (% of gross value added),69.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,2010,Services (% of gross value added),69.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,2015,Services (% of gross value added),73.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,2018,Services (% of gross value added),70.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,2019,Services (% of gross value added),70.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
36,Australia,2020,Services (% of gross value added),70.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.
40,Austria,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.2,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.2,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.
40,Austria,1995,Industry (% of gross value added),32.1,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.
